Parameters,Run_1,Run_2,Run_3,Run_4,Run_5
Cl_pop,10.3509,10.351,10.3624,10.3594,10.3344
V1_pop,40.9054,41.1473,39.7358,41.0144,40.8369
Q_pop,12.4661,12.2983,13.7248,12.4136,12.23
V2_pop,46.9234,46.7008,44.3756,47.084,48.1531
omega_Cl,0.251693,0.25235,0.252636,0.252204,0.254028
omega_V1,0.296897,0.263998,0.2727,0.272269,0.262909
omega_Q,0.583319,0.631568,0.673564,0.641989,0.643464
omega_V2,0.383916,0.339977,0.263974,0.328238,0.331983
corr_V2_V1,0.999,0.998851,0.998925,0.998123,0.999
a1,0.303181,0.301778,0.30308,0.302511,0.303554
a2,0.0630258,0.0649676,0.0643934,0.0637203,0.0629757
