Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11
Cl_pop,10.3509,10.351,10.3624,10.3594,10.3344,10.3599,5.61903,10.377,10.3342,10.3579,0.992191
V1_pop,40.9054,41.1473,39.7358,41.0144,40.8369,39.9923,47.2206,38.5517,40.8984,40.5333,47.2599
Q_pop,12.4661,12.2983,13.7248,12.4136,12.23,13.245,11.8488,14.8143,12.1873,12.7431,16.3603
V2_pop,46.9234,46.7008,44.3756,47.084,48.1531,46.8986,612.928,45.3529,51.6645,45.8317,1506.7
omega_Cl,0.251693,0.25235,0.252636,0.252204,0.254028,0.250994,0.229222,0.251406,0.252436,0.252022,0.34781
omega_V1,0.296897,0.263998,0.2727,0.272269,0.262909,0.30514,0.251161,0.28401,0.286317,0.271458,0.252027
omega_Q,0.583319,0.631568,0.673564,0.641989,0.643464,0.626817,0.261542,0.685642,0.656409,0.648442,0.180187
omega_V2,0.383916,0.339977,0.263974,0.328238,0.331983,0.345208,0.621127,0.334941,0.365084,0.318005,0.544373
corr_V2_V1,0.999,0.998851,0.998925,0.998123,0.999,0.998785,0.257787,0.998844,0.99888,0.998981,0.14267
a1,0.303181,0.301778,0.30308,0.302511,0.303554,0.302915,0.302272,0.304265,0.303998,0.302682,0.302676
a2,0.0630258,0.0649676,0.0643934,0.0637203,0.0629757,0.0637563,0.0772398,0.0611094,0.0616358,0.0630608,0.0787879
