Parameters,Run_1,Run_2,Run_3
Cl_pop,5.17534,5.16893,4.56723
V1_pop,20.2813,20.3818,22.5553
Q_pop,6.3938,6.31453,5.02293
V2_pop,23.4987,23.229,63.7188
omega_Cl,0.2525,0.252229,0.247494
omega_V1,0.298568,0.262975,0.268821
omega_Q,0.588054,0.67253,0.380268
omega_V2,0.37471,0.353442,1.02572
corr_V2_V1,0.998971,0.998654,0.267465
a1,0.303971,0.302016,0.305194
a2,0.0627408,0.0624366,0.0671516
-2LL,941.997,941.965,962.851
