iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V1_Cl,corr_V2_Cl,corr_V2_V1,a1,a2
1,2022.71,1,10.2275,43.2233,11.1604,60.344,1.5,1.5,1.5,1.5,0,0,0,3,3
2,1996.14,1,7.6463,46.1071,14.7426,76.2817,1.46202,1.53632,1.53385,1.46202,0,0,0,2.92404,2.92404
3,1990.21,1,7.74421,49.1092,17.76,125.741,1.425,1.49742,1.55762,1.55571,0,0,0,2.85,2.85
4,1970.71,1,5.6401,71.4238,22.7374,199.033,1.38892,1.50924,1.51818,1.51632,0,0,0,2.77784,2.77784
5,1963.77,1,5.90409,109.407,24.6534,206.812,1.35375,1.47103,1.47974,1.47792,0,0,0,2.7075,2.7075
6,1958.41,1,5.99795,93.7668,19.508,235.118,1.31947,1.51551,1.44742,1.4405,0,0,0,2.63894,2.63894
7,1934.45,1,5.33472,105.788,17.777,300.792,1.28606,1.47713,1.41077,1.40403,0,0,0,2.57212,2.57212
8,1924.11,1,4.86619,110.17,18.7714,267.435,1.2535,1.43973,1.38635,1.45651,0,0,0,2.507,2.507
9,1931.47,1,4.46037,129.123,15.1408,269.945,1.22176,1.44338,1.54642,1.49971,0,0,0,2.44352,2.44352
10,1918.23,1,3.57939,122.921,15.6592,316.795,1.19082,1.40684,1.57148,1.46174,0,0,0,2.38165,2.38165
11,1908.76,1,4.19464,157.415,10.0627,343.269,1.16067,1.37121,1.53169,1.52336,0,0,0,2.32134,2.32134
12,1890.36,1,4.35389,159.317,9.33606,333.529,1.13128,1.33649,1.49291,1.48479,0,0,0,2.26257,2.26257
13,1882.19,1,5.21814,123.476,15.0909,456.173,1.10264,1.30265,1.56648,1.44719,0,0,0,2.20528,2.20528
14,1873.2,1,4.96068,144.371,11.8637,447.009,1.07472,1.26967,1.69695,1.41055,0,0,0,2.14944,2.14944
15,1854.99,1,4.11556,118.004,13.9618,459.708,1.04751,1.23752,1.65398,1.37483,0,0,0,2.09501,2.09501
16,1850.5,1,4.29757,112.583,25.2246,384.555,1.02098,1.20619,1.6121,1.34002,0,0,0,2.04197,2.04197
17,1828.21,1,4.52061,90.4366,16.5623,439.724,0.995131,1.17564,1.62708,1.30609,0,0,0,1.99026,1.99026
18,1828.47,1,4.98969,77.5221,15.1938,411.893,0.969933,1.1615,1.58588,1.35131,0,0,0,1.93987,1.93987
19,1802.67,1,6.04192,81.1764,13.3711,377.033,0.945374,1.13209,1.54573,1.3171,0,0,0,1.89075,1.89075
20,1788.79,1,6.32283,83.4412,11.8588,333.707,0.921437,1.10343,1.50659,1.28375,0,0,0,1.84287,1.84287
21,1789.75,1,6.05647,83.137,15.792,332.166,0.898105,1.07549,1.47665,1.25124,0,0,0,1.79621,1.79621
22,1766.97,1,6.09592,75.1159,18.5635,340.523,0.875365,1.04825,1.43926,1.21956,0,0,0,1.75073,1.75073
23,1770.14,1,5.46562,71.2609,18.7232,426.142,0.8532,1.14151,1.54217,1.18868,0,0,0,1.7064,1.7064
24,1756.93,1,5.68118,80.845,18.6007,521.236,0.831597,1.11261,1.63333,1.15858,0,0,0,1.66319,1.66319
25,1742.36,1,6.94232,71.2843,19.1999,463.762,0.81054,1.08444,1.59197,1.12925,0,0,0,1.62108,1.62108
26,1729.94,1,7.18519,77.3784,23.8689,489.619,0.790017,1.05698,1.65856,1.10065,0,0,0,1.58003,1.58003
27,1720.95,1,7.05798,73.3606,24.2653,397.89,0.770013,1.03021,1.65704,1.07278,0,0,0,1.54003,1.54003
28,1709.23,1,7.33482,97.6953,20.4561,336.886,0.750516,1.02383,1.61508,1.04562,0,0,0,1.50103,1.50103
29,1704.49,1,7.69956,72.5141,16.9809,285.087,0.731512,0.997905,1.65743,1.1006,0,0,0,1.46302,1.46302
30,1687.81,1,8.21327,62.3726,14.0578,358.126,0.71299,1.05868,1.61546,1.07273,0,0,0,1.42598,1.42598
31,1685.83,1,7.63226,70.799,8.07693,302.449,0.694937,1.03187,1.57456,1.20019,0,0,0,1.38987,1.38987
32,1674.01,1,7.50927,63.8777,8.47141,251.796,0.677341,1.00575,1.53469,1.1698,0,0,0,1.35468,1.35468
33,1665.06,1,7.9524,63.1663,8.63275,254.271,0.66019,0.98028,1.63825,1.15776,0,0,0,1.32038,1.32038
34,1657.56,1,7.96924,70.3212,10.9222,252.594,0.643474,0.977414,1.87775,1.12845,0,0,0,1.28695,1.28695
35,1642.16,1,8.43448,61.0995,9.50652,268.042,0.627181,0.952666,1.8302,1.09987,0,0,0,1.25436,1.25436
36,1638.55,1,8.27847,63.34,16.9675,262.396,0.6113,0.928544,1.98082,1.07202,0,0,0,1.2226,1.2226
37,1623.98,1,8.12459,77.6753,12.7138,232.233,0.595821,0.905032,2.01129,1.04488,0,0,0,1.19164,1.19164
38,1615.52,1,8.43461,74.543,12.9269,185.013,0.580735,0.884881,1.96037,1.01842,0,0,0,1.16147,1.16147
39,1598.44,1,8.99274,72.5133,9.74483,171.717,0.56603,0.862476,1.95114,1.07482,0,0,0,1.13206,1.13206
40,1584.68,1,9.15946,69.6351,12.1915,181.491,0.551698,0.840637,1.90174,1.04761,0,0,0,1.1034,1.1034
41,1577.71,1,9.17321,73.0269,15.2215,203.2,0.537729,0.819352,1.96269,1.02108,0,0,0,1.07546,1.07546
42,1563.34,1,9.63007,68.1642,14.8326,178.149,0.524113,0.798605,1.913,0.995227,0,0,0,1.04823,1.04823
43,1548.7,1,9.95876,60.6893,11.4281,148.48,0.510842,0.778384,1.94888,0.970028,0,0,0,1.02168,1.02168
44,1533.11,1,9.82147,60.6033,10.083,168.427,0.497908,0.758675,1.89954,0.945466,0,0,0,0.995815,0.995815
45,1524.06,1,9.77275,58.2039,11.331,148.283,0.4853,0.739465,1.85144,0.921526,0,0,0,0.970601,0.970601
46,1522.71,1,9.49575,69.1705,5.95735,139.833,0.473012,0.720741,1.81687,0.972753,0,0,0,0.946024,0.946024
47,1506.95,1,9.17837,67.0683,8.63134,170.167,0.461035,0.702492,1.77087,1.0306,0,0,0,0.922071,0.922071
48,1496.97,1,9.23797,59.8578,7.87465,167.716,0.449362,0.684704,2.04331,1.0045,0,0,0,0.898723,0.898723
49,1493.26,1,9.80399,68.0019,6.71741,175.82,0.437984,0.667367,1.99158,0.979069,0,0,0,0.875967,0.875967
50,1478.45,1,9.36959,68.2699,5.4091,183.701,0.426894,0.650469,1.94115,0.954278,0,0,0,0.853787,0.853787
51,1464.02,1,9.78378,71.886,2.8288,172.625,0.416084,0.633999,1.892,1.0167,0,0,0,0.832169,0.832169
52,1449.56,1,9.347,67.0553,4.52287,151.382,0.405549,0.617946,1.84409,0.990953,0,0,0,0.811098,0.811098
53,1450.17,1,8.90371,60.4737,5.4023,162.61,0.39528,0.602299,1.7974,1.09782,0,0,0,0.79056,0.79056
