Parameters,Run_1,Run_2,Run_3,Run_4
Cl_pop,10.1908,10.19,9.62091,10.1537
Q_pop,10.0942,9.89456,9.63535,12.5312
V1_pop,43.4745,43.6949,46.3835,43.5933
V2_pop,54.2935,52.6949,78.818,45.4031
b,0.0935852,0.0923387,0.0952162,0.0943532
omega_Cl,0.262753,0.262751,0.262723,0.265419
omega_Q,0.960746,0.969021,0.502767,0.700727
omega_V1,0.0710131,0.0857891,0.14586,0.103231
omega_V2,0.134552,0.153389,1.09627,0.822643
-2LL,427.834,427.715,440.258,437.716
