iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b,c
1,794.575,1,5.13,0,20.91,5.39,26.12,1.5,1.5,1,0,0.3,1
2,788.973,1,4.68739,0.884341,26.9733,6.31289,30.7726,1.46202,1.47453,0.974679,0,0.285,1
3,773.107,1,5.05608,0.90734,34.806,5.86071,26.8299,1.425,1.43719,0.95,0,0.27075,1
4,761.141,1,5.05482,0.999119,30.5864,6.6085,37.5618,1.38892,1.4008,0.925945,0,0.257212,1
5,750.908,1,4.91352,1.2159,27.0141,7.09336,41.0833,1.35375,1.36533,1.0047,0,0.244352,1
6,741.866,1,4.75651,1.54089,30.5191,7.71308,49.5567,1.31947,1.33076,0.979262,0,0.232134,1
7,734.914,1,5.03178,1.08959,27.7698,7.78153,55.1318,1.28606,1.29707,0.954466,0,0.220528,1
8,719.382,1,4.81394,1.323,22.9898,8.2041,59.6113,1.2535,1.26423,0.930299,0,0.209501,1
9,701.433,1,5.17066,1.00301,20.4673,8.17516,44.7084,1.22176,1.23221,0.906743,0,0.199026,1
10,697.39,1,5.49083,0.617174,23.3442,8.46738,39.2596,1.19082,1.20101,0.883784,0,0.189075,1
11,677.492,1,5.31202,0.810682,21.4841,7.52465,32.6959,1.16067,1.1706,0.861406,0,0.179621,1
12,675.982,1,5.46008,0.634475,19.9367,9.10855,31.2654,1.13128,1.14096,0.84289,0,0.17064,1
13,663.702,1,5.20267,0.909606,19.3361,10.1865,32.7799,1.10264,1.11207,0.821547,0,0.162108,1
14,656.436,1,5.25625,0.736141,19.1529,11.4688,31.3457,1.07472,1.08392,0.837761,0,0.154003,1
15,643.767,1,5.48521,0.559747,20.4834,11.5053,31.1988,1.04751,1.05647,0.816548,0,0.146302,1
16,633.577,1,5.32482,0.617854,18.9514,11.5362,28.7614,1.02098,1.02972,0.795873,0,0.138987,1
17,617.515,1,5.42025,0.766589,17.4771,12.7363,27.9525,0.995131,1.00365,0.775721,0,0.132038,1
18,598.827,1,5.24879,0.628015,15.8916,12.7573,25.7687,0.969933,0.978234,0.756079,0,0.125436,1
19,596.249,1,5.23677,0.707033,14.8954,14.8105,25.8694,0.945374,0.953464,0.872135,0,0.119164,1
20,587.064,1,5.1938,0.735832,12.7328,16.554,26.8395,0.921437,0.929322,0.850052,0,0.113206,1
21,579.574,1,5.26081,0.710072,13.3807,16.0084,26.3153,0.898105,0.905791,0.828528,0,0.107546,0.95
22,570.895,1,5.39417,0.661386,15.1938,15.8459,27.1582,0.875365,0.882856,0.865305,0,0.102168,0.95
23,558.092,1,5.3382,0.74703,15.4416,15.3654,27.3491,0.8532,0.860502,0.970781,0,0.0970601,0.95
24,549.753,1,5.22046,0.758457,16.1016,15.6393,26.7722,0.831597,0.838713,0.9462,0,0.0922071,0.95
25,537.034,1,5.20317,0.69715,15.2265,16.8718,24.3042,0.81054,0.817476,0.942277,0,0.0875967,0.95
26,533.813,1,5.07794,0.717497,14.1009,19.1192,23.051,0.790017,0.796778,0.918418,0,0.0832169,0.95
27,527.201,1,5.18884,0.672923,13.6441,20.0782,23.087,0.770013,0.776603,0.902191,0,0.079056,0.95
28,514.858,1,5.18378,0.654791,13.5231,17.8738,23.0329,0.750516,0.756939,0.887718,0,0.0751032,0.95
29,504.868,1,5.18692,0.666431,14.1751,19.5102,22.637,0.731512,0.737773,0.86524,0,0.0713481,0.95
30,492.404,1,5.23738,0.645793,13.1629,18.9796,23.2914,0.71299,0.719092,0.843332,0,0.0677807,0.95
31,483.159,1,5.24265,0.551828,11.8586,17.2697,23.3278,0.694937,0.700884,0.821978,0,0.0643916,0.95
32,471.946,1,5.20798,0.66059,13.3729,17.2465,23.2002,0.677341,0.683137,0.801165,0,0.061172,0.95
33,468.164,1,5.17081,0.623669,12.6911,18.0368,22.9011,0.66019,0.66584,0.780879,0,0.0581134,0.95
34,457.411,1,5.20023,0.638658,12.2779,18.6245,23.4736,0.643474,0.64898,0.761107,0,0.0552078,0.95
35,448.754,1,5.16388,0.628875,12.2729,18.3013,21.8232,0.627181,0.632548,0.741835,0,0.0524474,0.95
36,436.235,1,5.15446,0.717817,13.0463,16.1362,22.2494,0.6113,0.616531,0.723052,0,0.049825,0.95
37,433.245,1,5.15646,0.63695,13.033,15.645,21.9713,0.595821,0.662878,0.704744,0,0.0473338,0.95
38,423.906,1,5.14842,0.647897,13.0169,15.872,21.9026,0.580735,0.646094,0.688782,0,0.0449671,0.95
39,410.548,1,5.18071,0.64076,13.5718,15.4118,21.8855,0.56603,0.629734,0.671342,0,0.0427187,0.95
40,404.086,1,5.15299,0.685646,13.6029,15.9017,22.1847,0.551698,0.613789,0.654343,0,0.0405828,0.95
41,404.722,1,5.15044,0.68112,13.858,15.2236,21.9551,0.537729,0.598248,0.637775,0,0.0385536,0.9025
42,393.685,1,5.14794,0.715961,13.4225,14.7189,21.895,0.524113,0.644421,0.621626,0,0.036626,0.9025
43,385.039,1,5.16275,0.698999,13.258,14.6831,21.9378,0.510842,0.669528,0.605886,0,0.0347947,0.9025
44,388.604,1,5.18614,0.660748,13.0427,14.4547,21.8907,0.497908,0.691392,0.590545,0,0.0350746,0.9025
45,381.256,1,5.20591,0.646688,13.4872,14.7986,21.9078,0.4853,0.673886,0.575592,0,0.0343054,0.9025
46,375.51,1,5.20413,0.678225,13.9907,14.3027,21.8051,0.473012,0.656823,0.561018,0,0.0333271,0.9025
47,370.654,1,5.19883,0.711103,13.6929,14.3517,21.9456,0.461035,0.643331,0.546812,0,0.0323081,0.9025
48,373.771,1,5.15478,0.733429,14.5412,13.9046,21.7227,0.449362,0.627042,0.532967,0,0.0332853,0.9025
49,367.291,1,5.19369,0.655608,14.2988,13.8752,21.6124,0.437984,0.611165,0.550064,0,0.032335,0.9025
50,367.723,1,5.17485,0.681715,14.3542,13.5447,21.7306,0.426894,0.59569,0.536136,0,0.0327596,0.9025
51,371.28,1,5.20433,0.634913,14.1215,13.9713,21.7985,0.416084,0.580606,0.576533,0,0.0327617,0.9025
52,368.779,1,5.16771,0.676881,13.8768,13.2723,21.79,0.405549,0.565905,0.561935,0,0.0331471,0.9025
53,367.448,1,5.15987,0.704756,14.4071,12.7038,21.3985,0.39528,0.551576,0.547706,0,0.0328426,0.9025
54,368.879,1,5.17463,0.658786,14.9171,13.4544,21.2898,0.385271,0.53761,0.539294,0,0.0334651,0.9025
55,360.302,1,5.23115,0.651491,15.319,13.247,20.9447,0.375516,0.527505,0.525638,0,0.0327797,0.9025
56,361.642,1,5.21381,0.664634,15.2963,13.1853,21.3578,0.366008,0.545273,0.529844,0,0.0321752,0.9025
57,356.857,1,5.18431,0.689063,15.1193,13.5891,20.9365,0.35674,0.564191,0.532415,0,0.0312283,0.9025
58,352.926,1,5.20604,0.67799,15.0751,13.3897,21.0347,0.347707,0.549906,0.518934,0,0.0311031,0.9025
59,354.262,1,5.20254,0.645037,15.1226,13.1472,20.8128,0.338903,0.535982,0.505794,0,0.0316294,0.9025
60,359.863,1,5.15269,0.665837,15.061,13.2049,20.8535,0.330322,0.539574,0.554965,0,0.0319077,0.9025
61,359.073,1,5.1967,0.661198,15.5132,13.0577,21.053,0.321958,0.551359,0.540913,0,0.0320679,0.9025
62,353.667,1,5.20208,0.606583,15.5263,12.2512,20.9708,0.313806,0.543375,0.583377,0,0.030876,0.9025
63,350.533,1,5.17982,0.619997,15.4838,11.7601,21.1346,0.30586,0.529617,0.574428,0,0.0306993,0.9025
64,343.531,1,5.15471,0.665558,15.6366,12.1947,21.1429,0.298116,0.516207,0.577417,0,0.029586,0.9025
65,340.804,1,5.1863,0.643082,15.9344,11.853,20.8414,0.290567,0.503136,0.562796,0,0.0296677,0.9025
66,349.763,1,5.1735,0.613473,15.6253,11.2787,21.1671,0.28321,0.490396,0.648764,0,0.0305217,0.9025
67,348.753,1,5.16962,0.578416,16.3329,11.0755,20.8612,0.276039,0.477979,0.681287,0,0.0307677,0.9025
68,353.128,1,5.1475,0.606023,16.2812,10.9616,21.2971,0.269049,0.465876,0.708831,0,0.0311674,0.9025
69,345.762,1,5.16519,0.61638,16.8682,10.4042,21.2306,0.262237,0.461905,0.690883,0,0.0301698,0.9025
70,344.414,1,5.16954,0.628355,16.7309,10.1057,21.1559,0.255597,0.488855,0.709418,0,0.0293783,0.9025
71,345.151,1,5.15669,0.610733,16.219,10.7214,20.7262,0.249125,0.476477,0.691455,0,0.0300393,0.9025
72,341.666,1,5.13855,0.627813,16.0715,10.8019,21.1796,0.242817,0.464412,0.673947,0,0.0296363,0.9025
73,339.491,1,5.16159,0.634329,16.2689,10.6016,20.8983,0.236669,0.494066,0.656882,0,0.0291667,0.9025
74,339.33,1,5.1561,0.636587,16.0226,11.0372,21.2371,0.230676,0.481556,0.640249,0,0.0297618,0.9025
75,344.039,1,5.12107,0.640809,15.8099,11.6525,21.2039,0.224835,0.469363,0.634189,0,0.0302534,0.9025
76,350.438,1,5.12097,0.660128,15.4191,11.5612,21.3695,0.219142,0.490552,0.683475,0,0.0304365,0.9025
77,356.233,1,5.17942,0.63202,15.6372,12.4005,21.3528,0.213594,0.478131,0.702455,0,0.031628,0.9025
78,350.358,1,5.20063,0.625713,15.7938,11.5217,21.2194,0.208185,0.470555,0.684668,0.218759,0.0317513,0.9025
79,346.771,1,5.16531,0.582677,15.8643,11.532,21.207,0.20481,0.480326,0.667332,0.226238,0.0308274,0.9025
80,348.813,1,5.19124,0.59116,16.4014,11.753,21.062,0.205598,0.468164,0.686418,0.179798,0.031017,0.9025
81,350,1,5.21858,0.569265,16.6021,12.1134,20.9921,0.20336,0.45631,0.689997,0.205482,0.0312848,0.9025
82,341.983,1,5.19253,0.570172,15.812,12.0924,20.9183,0.207429,0.470356,0.672526,0.367438,0.0303275,0.9025
83,344.786,1,5.18197,0.507953,15.5577,12.1537,20.9264,0.205989,0.458446,0.655497,0.402986,0.0309238,0.9025
84,342.111,1,5.16532,0.549861,15.8909,11.955,20.9101,0.2088,0.464182,0.655188,0.371549,0.0301092,0.9025
85,345.557,1,5.19036,0.540041,16.4658,11.8873,20.4772,0.205259,0.452429,0.66853,0.375172,0.0310629,0.9025
86,342.333,1,5.13809,0.56342,16.4464,10.9586,20.3412,0.213581,0.440973,0.651602,0.376242,0.0307854,0.9025
87,340.537,1,5.16555,0.544042,16.382,10.2296,20.2776,0.210968,0.461903,0.635103,0.443107,0.030283,0.9025
88,343.918,1,5.14452,0.546759,16.9726,9.99051,20.04,0.212193,0.461596,0.660003,0.360761,0.0303006,0.9025
89,339.394,1,5.13789,0.557006,17.3209,9.50178,20.0009,0.20831,0.449909,0.666561,0.277158,0.0298463,0.9025
90,342.391,1,5.10986,0.590053,17.1336,9.2395,19.8055,0.209527,0.44325,0.649683,0.328987,0.0305916,0.9025
91,340.519,1,5.13583,0.556658,17.4289,9.20924,19.8055,0.211542,0.435018,0.633233,0.404387,0.0303069,0.9025
92,344.207,1,5.14455,0.527575,17.9388,8.76548,19.3297,0.210975,0.427909,0.661668,0.321967,0.0306296,0.9025
93,343.454,1,5.18428,0.557839,18.7143,9.06626,19.7073,0.212344,0.417074,0.644914,0.289824,0.0307283,0.9025
94,341.427,1,5.14846,0.585485,18.022,9.22373,19.8074,0.216018,0.406513,0.669523,0.235393,0.0303245,0.9025
95,342.069,1,5.16066,0.599712,18.0581,9.29743,19.8615,0.211894,0.4119,0.672399,0.207461,0.0302684,0.9025
96,340.795,1,5.1205,0.60153,17.5185,9.5511,19.6753,0.207824,0.40147,0.655374,0.229543,0.0304437,0.9025
97,336.504,1,5.15422,0.600321,17.5642,9.32249,20.0596,0.208444,0.391305,0.650176,0.270486,0.0299025,0.9025
98,339.695,1,5.12179,0.601547,17.7956,9.03482,20.232,0.215618,0.386237,0.676892,0.186636,0.0299878,0.9025
99,334.087,1,5.13634,0.595658,17.6871,9.39341,20.3742,0.210158,0.418174,0.663781,0.200137,0.0290666,0.9025
100,339.323,1,5.12948,0.572027,17.571,9.33943,20.223,0.204837,0.411259,0.657957,0.233564,0.0301169,0.9025
101,343.63,1,5.11721,0.572963,17.4134,8.62612,20.1993,0.200317,0.416895,0.662073,0.243355,0.0307409,0.9025
102,341.345,1,5.0613,0.612172,17.6959,7.78062,20.1638,0.209302,0.406339,0.730765,0.161957,0.0300845,0.9025
103,345.169,1,5.08114,0.613412,17.2505,8.21767,20.6049,0.205445,0.39605,0.749484,0.225179,0.0306771,0.9025
104,340.645,1,5.08228,0.637981,17.387,8.58293,20.5888,0.213439,0.386022,0.730507,0.187069,0.0306676,0.9025
105,343.154,1,5.11607,0.599543,17.5289,9.05782,20.251,0.208035,0.376247,0.71201,0.222203,0.0313228,0.9025
106,345.12,1,5.09897,0.625547,17.9055,8.84216,20.0453,0.216693,0.366721,0.728052,0.193654,0.0310184,0.9025
107,340.616,1,5.09956,0.563252,18.028,8.27799,20.5935,0.211207,0.357435,0.744394,0.132177,0.0303342,0.9025
108,332.708,1,5.12716,0.575396,18.6186,8.30206,20.505,0.211313,0.353639,0.725546,0.170973,0.0291665,0.9025
109,332.608,1,5.09581,0.584396,18.6892,8.35298,20.4729,0.220757,0.348054,0.707175,0.19389,0.029248,0.9025
110,331.851,1,5.09367,0.585506,18.2843,8.77272,20.421,0.226921,0.351974,0.742883,0.258996,0.0286431,0.9025
111,332.491,1,5.10743,0.561109,17.8368,9.03672,20.7241,0.221176,0.368542,0.768447,0.296805,0.0286004,0.9025
112,331.267,1,5.12159,0.567726,18.0491,9.16982,20.9548,0.222862,0.36251,0.74899,0.324092,0.028889,0.9025
113,335.392,1,5.14298,0.534462,18.0155,8.67261,20.9957,0.217219,0.369151,0.730025,0.291763,0.0296733,0.9025
114,331.011,1,5.13582,0.565837,18.6242,8.26446,20.7497,0.211719,0.365355,0.71154,0.278951,0.0290566,0.9025
115,332.827,1,5.15534,0.529961,18.4573,8.27584,21.5602,0.212047,0.356104,0.707476,0.244972,0.0293987,0.9025
116,333.087,1,5.10295,0.579172,18.207,8.67876,21.3244,0.218208,0.347088,0.798609,0.208765,0.0290199,0.9025
117,333.17,1,5.11111,0.58312,18.542,7.96359,21.391,0.216085,0.338299,0.778388,0.268396,0.0295292,0.9025
118,339.684,1,5.08446,0.578383,18.5322,8.24264,21.0234,0.215941,0.338723,0.758679,0.274869,0.0301599,0.9025
119,333.276,1,5.11524,0.545926,18.4377,7.6387,20.9002,0.210473,0.330146,0.739469,0.240851,0.0299359,0.9025
