Parameters,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21,Run_22
Cl_pop,5.17534,5.16893,4.56723,5.17588,5.16605,4.6702,5.17162,5.17584,3.2814,5.174,4.89188,5.16827,5.16356,5.1783,5.17033,4.92926,5.17166,5.17104,5.17382,5.17132,5.10839,5.16539
V1_pop,20.2813,20.3818,22.5553,20.4719,20.7031,22.2549,20.1738,20.4994,23.5687,20.127,21.8922,20.4755,20.714,20.2713,20.435,21.4848,20.2404,19.9896,19.6616,20.2944,21.1055,20.535
Q_pop,6.3938,6.31453,5.02293,6.18409,6.0158,5.22641,6.45881,6.1933,5.49851,6.39273,5.26194,6.03776,5.99192,6.44374,6.19688,5.45273,6.33952,6.57233,6.77313,6.30658,5.55288,5.92504
V2_pop,23.4987,23.229,63.7188,23.7609,24.307,55.2603,22.8854,23.8919,234.501,23.5145,39.6655,24.0932,24.5876,22.5884,23.964,36.6339,23.5892,23.2468,22.7194,23.1422,28.2654,25.0683
omega_Cl,0.2525,0.252229,0.247494,0.252446,0.253457,0.253494,0.251524,0.253114,0.282055,0.252959,0.246034,0.250584,0.253292,0.251508,0.251541,0.251146,0.250899,0.250349,0.25129,0.252232,0.252963,0.252081
omega_V1,0.298568,0.262975,0.268821,0.266309,0.258443,0.274235,0.304761,0.274894,0.24745,0.279293,0.280902,0.270327,0.275636,0.272597,0.278588,0.291939,0.292274,0.298328,0.30342,0.290492,0.282647,0.290992
omega_Q,0.588054,0.67253,0.380268,0.643541,0.605891,0.379669,0.609255,0.645889,0.246538,0.662374,0.475261,0.626217,0.643843,0.635376,0.611594,0.482646,0.589972,0.623836,0.631124,0.619622,0.58198,0.612024
omega_V2,0.37471,0.353442,1.02572,0.311408,0.347092,1.02491,0.341286,0.307368,0.595424,0.290141,0.899535,0.313177,0.320104,0.347622,0.384455,0.85872,0.363054,0.394636,0.349818,0.330849,0.566801,0.333532
corr_V2_V1,0.998971,0.998654,0.267465,0.998851,0.998896,0.239868,0.998638,0.998652,0.108643,0.999,0.567506,0.982016,0.99893,0.999,0.998668,0.650791,0.998937,0.999,0.998981,0.993852,0.674618,0.998665
a1,0.303971,0.302016,0.305194,0.303293,0.302238,0.305785,0.30356,0.303215,0.302309,0.303859,0.304246,0.302591,0.302818,0.301531,0.301624,0.306174,0.303032,0.302707,0.305539,0.303777,0.304943,0.304099
a2,0.0627408,0.0624366,0.0671516,0.0633532,0.0638684,0.0650032,0.0626934,0.0620281,0.0762496,0.0622244,0.0642856,0.0639171,0.0636487,0.0643043,0.0643338,0.0614687,0.0638746,0.0629911,0.0617457,0.0613555,0.0603361,0.062225
-2LL,941.997,941.965,962.851,941.73,942.32,961.704,941.414,941.796,966.243,941.845,952.652,942.066,942.163,941.421,942.474,951.157,942.091,942.52,943.463,941.311,945.149,942.628
